Name, Price, Link, Img
Samsung Galaxy M21 4/64GB (M215),4199,https://darwin.md/m215-galaxy-m21-samsung-blue-64-gb-dual.html,https://darwin.md/images/product/thumbs/2020/05/samsung_galaxy_m215_blue2.png
Xiaomi Redmi Note 9S 4GB 64GB,4099,https://darwin.md/redmi-note-9s-xiaomi-gray-4-64-gb-dual.html,https://darwin.md/images/product/thumbs/2021/01/redmi_note_9s_gray_1.png
Xiaomi Shark 3 12GB 256GB,12999,https://darwin.md/black-shark-3-xiaomi-black-12-256-gb-dual.html,https://darwin.md/images/product/thumbs/2020/09/xiaomi_black_shark_3_pro_black_2_hrh7-zw.png
Apple iPhone 12 128GB Dual SIM,22499,https://darwin.md/iphone-12-apple-128-gb-red-dual.html,https://darwin.md/images/product/thumbs/2020/11/iphone_12_red1-201116015551-darwin.png
Apple iPhone 11 Pro Max 64GB,23999,https://darwin.md/smartphone_apple-iphone-11-pro-max-64gb-green.html,https://darwin.md/images/product/thumbs/2020/11/apple_iphone_11_pro_max_green1a.png
Xiaomi Mi 10 Lite 6GB 64GB,6999,https://darwin.md/mi-10-lite-xioami-blue-6-64-gb-dual.html,https://darwin.md/images/product/thumbs/2020/07/xiaomi_mi_10_lite_blue_1.png
Apple iPhone 12 Pro 256GB Dual SIM,30999,https://darwin.md/iphone-12-pro-apple-256-gb-pacific-blue-dual.html,https://darwin.md/images/product/thumbs/2020/11/iphone_12_pro_pacific_blue1-201116020936-darwin.png
Apple iPhone SE (2020) 64GB,9999,https://darwin.md/iphone-se-2020-apple-white-64-gb.html,https://darwin.md/images/product/thumbs/2020/07/apple_iphone_se_2020_white1_1-200702091404-darwin.png
Apple iPhone 12 128GB Dual SIM,22499,https://darwin.md/iphone-12-apple-128-gb-white-dual.html,https://darwin.md/images/product/thumbs/2020/11/iphone_12_white1-201116015559-darwin.png
Apple iPhone 12 64GB Dual SIM,20999,https://darwin.md/iphone-12-apple-64-gb-red-dual.html,https://darwin.md/images/product/thumbs/2020/11/iphone_12_red1-201116015329-darwin.png
Apple iPhone 11 Pro 64GB,20999,https://darwin.md/smartphone_apple-iphone-11-pro-64gb-gold.html,https://darwin.md/images/product/thumbs/2020/11/apple_iphone_11_pro1d.png
Poco F2 Pro 6GB 128GB,9999,https://darwin.md/poco-f2-pro-blue-6-128-gb-dual.html,https://darwin.md/images/product/thumbs/2020/05/poco-f2-pro-blue1.png
Xiaomi Redmi Note 9 Pro 6GB 64GB,5199,https://darwin.md/redmi-note-9-pro-xiaomi-green-6-64-gb-dual.html,https://darwin.md/images/product/thumbs/2020/06/redmi_note_9_pro_green_1.png
Xiaomi Redmi Note 8 Pro 6GB 128GB,4299,https://darwin.md/xiaomi-redmi-note-8-pro-6gb-128gb-green.html,https://darwin.md/images/product/thumbs/2020/11/redmi_note_8pro_green_2d.png
Apple iPhone 12 Pro 128GB Dual SIM,28999,https://darwin.md/iphone-12-pro-apple-128-gb-graphite-dual.html,https://darwin.md/images/product/thumbs/2020/11/iphone_12_pro_graphite1-201116020746-darwin.png
Xiaomi Mi Note 10 Lite 6GB 128GB,7899,https://darwin.md/mi-note-10-lite-xiaomi-purple-6-128-gb-dual.html,https://darwin.md/images/product/thumbs/2020/06/xiaomi_mi_note_10_lite_purple_2.png
Apple iPhone XS Max 64GB,17999,https://darwin.md/smartphone_apple-iphone-xs-max-64g-silver.html,https://darwin.md/images/product/thumbs/2020/12/apple_iphone_xs_max_silver_1d.png
Apple iPhone 12 128GB Dual SIM,22499,https://darwin.md/iphone-12-apple-128-gb-blue-dual.html,https://darwin.md/images/product/thumbs/2020/11/iphone_12_blue1-201116015544-darwin.png
Apple iPhone 12 Pro 256GB Dual SIM,30999,https://darwin.md/iphone-12-pro-apple-256-gb-gold-dual.html,https://darwin.md/images/product/thumbs/2020/11/iphone_12_pro_gold1-201116020929-darwin.png
